NavCustomerName,NavCustomerId,Description,BillingCycle,UnitAmount,NavPrice,UnitPrice
"CPH EL ApS","40678255","WEB, DNS og Domæne","Monthly","1,00","240,00","69,60"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","4,00","29,00","29,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","5,00","25,00","25,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","15,00","6,00","6,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","1,00","0,00","25,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","2,00","25,00","30,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","1,00","500,00","30,00"
"Hoimes Advisory","352 621 555 178","DNS","Annually","1,00","240,00","464,00"
"make:net a/s","10047560","Domæne Conmatics (.dk/.com)","Annually","1,00","120,00","139,20"
"make:net a/s","10047560","Domæne Conmatics (.dk/.com)","Annually","1,00","120,00","255,20"
"make:net a/s","10047560","Domæne Blueconnect.dk","Annually","1,00","120,00","139,20"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","26,00","0,00","30,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","4,00","0,00","91,60"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","500,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","250,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","200,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","0,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","210,00","6,00","6,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","0,00","516,88"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","579,00","579,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","2,00","149,00","149,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","130,00","100,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","49,00","49,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","47,00","29,00","29,00"
"make:net a/s","10047560","SSL Certifikat Makenet","Annually","1,00","1500,00","1500,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Managed Unify solution","Monthly","4,00","79,00","91,64"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Managed Unify solution","Monthly","2,00","344,25","399,33"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Managed Unify solution","Monthly","1,00","459,75","533,31"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Managed Unify solution","Monthly","7,00","239,33","277,24"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","30,00","49,00","49,00"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","1,00","249,00","249,00"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","1,00","500,00","400,00"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","1,00","0,00","750,75"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","1,00","0,00","300,00"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","1,00","500,00","300,00"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","1,00","500,00","400,00"
"NGF NATURE ENERGY BIOGAS A/S","34614091","Teams Voice - FR, NL, CA, US","Monthly","3,00","500,00","400,00"
"KRAKEN KAPITAL","35829474","Domæne Krakenkapital.com","Annually","1,00","240,00","255,20"
"INFARE SOLUTIONS A/S","25525639","Teams Voice Amerikansk nummer","Monthly","1,00","49,00","49,00"
"INFARE SOLUTIONS A/S","25525639","Teams Voice Amerikansk nummer","Monthly","1,00","99,00","99,00"
"INFARE SOLUTIONS A/S","25525639","Teams Voice Amerikansk nummer","Monthly","1,00","6,00","50,00"
"INFARE SOLUTIONS A/S","25525639","Teams Voice Amerikansk nummer","Monthly","1,00","0,00","29,70"
"MARTINE LIE Interior Concepts ApS","36973382","DNS abonnement","Annually","1,00","120,00","116,00"
"NEXTM2M A/S","32880053","Teams Telefoni","Monthly","1,00","95,00","95,00"
"NEXTM2M A/S","32880053","Teams Telefoni","Monthly","1,00","99,00","99,00"
"NEXTM2M A/S","32880053","Teams Telefoni","Monthly","6,00","29,00","29,00"
"NEXTM2M A/S","32880053","Teams Telefoni","Monthly","7,00","6,00","6,00"
"Bendix Transport Danmark A/S","18236133","Certifikater Bendix og Containerland","Annually","1,00","1500,00","835,20"
"Bendix Transport Danmark A/S","18236133","Certifikater Bendix og Containerland","Annually","1,00","1500,00","835,20"
"make:net a/s","10047560","Eveniot Webhotel, Domæne og DNS","Annually","1,00","120,00","139,20"
"make:net a/s","10047560","Eveniot Webhotel, Domæne og DNS","Annually","1,00","120,00","255,20"
"Kiming ApS","32353924","SSL certifikat","Annually","1,00","0,00","870,00"
"Kiming ApS","32353924","SSL certifikat","Annually","1,00","0,00","870,00"
"Ecovis Danmark","28939523","Teams Telefoni","Monthly","27,00","49,00","49,00"
"Ecovis Danmark","28939523","Teams Telefoni","Monthly","1,00","399,00","399,00"
"Ecovis Danmark","28939523","Teams Telefoni","Monthly","42,00","6,00","6,00"
"Ecovis Danmark","28939523","Teams Telefoni","Monthly","4,00","49,00","49,00"
"Ecovis Danmark","28939523","Teams Telefoni","Monthly","1,00","95,00","95,00"
"Ecovis Danmark","28939523","Teams Telefoni","Monthly","1,00","0,00","303,00"
"Kiming ApS","32353924","SpamExpers - Spamfilter - Mailfilter","Monthly","1,00","195,00","226,20"
"Hansen Lellinge A/S","24259684","Spamfilter","Monthly","1,00","195,00","226,20"
"ZINCKTWICE S.M.B.A.","32365361","DNS","Annually","3,00","120,00","0,00"
"Intern A/S","20284072","Unify Cloud Control + Acronis backup","Monthly","18,00","30,00","27,56"
"Intern A/S","20284072","Unify Cloud Control + Acronis backup","Monthly","2,00","79,00","94,64"
"make Rehab A/S","42102806","DNS og Domæne fornyelse/administration - makerehab.dk","Annually","1,00","120,00","139,20"
"NORD TECH INDUSTRISYSTEMER A/S","18175509","Serverhosting","Monthly","2,00","195,00","113,10"
"NORD TECH INDUSTRISYSTEMER A/S","18175509","Serverhosting","Monthly","8,00","195,00","113,10"
"NORD TECH INDUSTRISYSTEMER A/S","18175509","Serverhosting","Monthly","220,00","4,00","2,32"
"NORD TECH INDUSTRISYSTEMER A/S","18175509","Serverhosting","Monthly","1,00","200,00","116,00"
"NORD TECH INDUSTRISYSTEMER A/S","18175509","Serverhosting","Monthly","1,00","200,00","116,00"
"Nordic Venture Partners","30529979","DNS","Annually","1,00","120,00","139,20"
"make:net a/s","10047560","makeneteasy.dk","Annually","1,00","120,00","139,20"
"Junior Foto","11551475","DNS","Annually","1,00","120,00","139,20"
"Systemtech A/S","42368474","Teams Voice","Monthly","2,00","99,00","99,00"
"Systemtech A/S","42368474","Teams Voice","Monthly","9,00","49,00","49,00"
"Systemtech A/S","42368474","Teams Voice","Monthly","29,00","6,00","6,00"
"Systemtech A/S","42368474","Teams Voice","Monthly","1,00","95,00","95,00"
"Systemtech A/S","42368474","Teams Voice","Monthly","1,00","0,00","136,19"
"make Rehab A/S","42102806","HIT-Site - Netværksudstyr Unify abonnement","Monthly","1,00","239,33","239,33"
"make Rehab A/S","42102806","HIT-Site - Netværksudstyr Unify abonnement","Monthly","1,00","344,25","175,00"
"make Rehab A/S","42102806","HIT-Site - Netværksudstyr Unify abonnement","Monthly","1,00","459,75","459,75"
"GRØNBECH & SØNNER A/S","12069502","Teams Telefoni","Monthly","62,00","29,00","29,00"
"GRØNBECH & SØNNER A/S","12069502","Teams Telefoni","Monthly","1,00","579,00","479,00"
"GRØNBECH & SØNNER A/S","12069502","Teams Telefoni","Monthly","100,00","6,00","6,00"
"GRØNBECH & SØNNER A/S","12069502","Teams Telefoni","Monthly","1,00","149,00","149,00"
"GRØNBECH & SØNNER A/S","12069502","Teams Telefoni","Monthly","1,00","95,00","95,00"
"GRØNBECH & SØNNER A/S","12069502","Teams Telefoni","Monthly","1,00","0,00","444,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","30,00","49,00","49,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","2,00","149,00","149,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","1,00","579,00","579,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","302,00","6,00","6,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","1,00","1995,00","1995,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","1,00","95,00","95,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","244,00","29,00","29,00"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","1,00","195,00","206,70"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","198,00","10,00","10,60"
"FORSYNING HELSINGØR A/S","32059325","Teams Telefoni","Monthly","1,00","0,00","2124,90"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","32,00","6,00","6,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","4,00","49,00","49,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","1,00","95,00","95,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","1,00","130,00","130,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","1,00","0,00","264,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","1,00","249,00","249,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","27,00","29,00","29,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Teams Telefoni","Monthly","40,00","0,00","142,50"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","1,00","500,00","1740,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","8,00","195,00","88,16"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","8,00","195,00","44,08"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","600,00","4,00","1,62"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","1,00","100,00","116,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","1,00","100,00","116,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","1,00","200,00","116,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","1,00","120,00","11,60"
"Norli Liv og Pension Livsforsikring A/S","64145711","Infrastruktur og Netværk","Monthly","1,00","200,00","232,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Teams Telefoni","Monthly","1,00","95,00","95,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Teams Telefoni","Monthly","1,00","0,00","6159,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Teams Telefoni","Monthly","1,00","399,00","399,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Teams Telefoni","Monthly","1,00","149,00","149,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Teams Telefoni","Monthly","100,00","6,00","6,00"
"Norli Liv og Pension Livsforsikring A/S","64145711","Teams Telefoni","Monthly","45,00","29,00","29,00"
"SVANEHØJ Danmark A/S","25895010","Teams Voice","Monthly","46,00","29,00","25,00"
"SVANEHØJ Danmark A/S","25895010","Teams Voice","Monthly","1,00","249,00","249,00"
"SVANEHØJ Danmark A/S","25895010","Teams Voice","Monthly","50,00","500,00","30,00"
"SVANEHØJ Danmark A/S","25895010","Teams Voice","Monthly","1,00","49,00","499,00"
"SVANEHØJ Danmark A/S","25895010","Teams Voice","Monthly","1,00","0,00","491,90"
"SVANEHØJ Danmark A/S","25895010","Teams Voice","Monthly","1,00","29,00","29,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","2,00","29,00","29,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","11,00","25,00","30,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","2,00","99,00","99,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","1,00","95,00","95,00"
